city,country,region,temperature,feels_like,temp_min,temp_max,humidity,pressure,weather,weather_desc,wind_speed,clouds,timestamp,datetime_24h,datetime_12h,date,hour,time_period
Bangkok,TH,Central,35.23,41.64,34.94,36.62,51,1005,Clouds,few clouds,6.87,16,1776765179,2026-04-21 09:52:59,2026-04-21 09:52:59 AM,2026-04-21,9,Morning
Chiang Mai,TH,North,38.95,41.54,37.33,40.5,31,1003,Clouds,few clouds,3.09,20,1776753881,2026-04-21 06:44:41,2026-04-21 06:44:41 AM,2026-04-21,6,Morning
Chiang Mai,TH,North,37.21,40.86,36.18,38.18,38,1001,Clouds,few clouds,2.06,20,1776761124,2026-04-21 08:45:24,2026-04-21 08:45:24 AM,2026-04-21,8,Morning
Chiang Mai,TH,North,38.0,45.0,37.34,38.74,44,1001,Clouds,few clouds,2.06,20,1776761748,2026-04-21 08:55:48,2026-04-21 08:55:48 AM,2026-04-21,8,Morning
Chiang Mai,TH,North,36.56,40.67,34.56,38.04,41,1001,Clouds,few clouds,2.57,20,1776765350,2026-04-21 09:55:50,2026-04-21 09:55:50 AM,2026-04-21,9,Morning
Chiang Rai,TH,North,36.99,38.34,36.99,38.65,32,999,Clouds,few clouds,3.6,16,1776762002,2026-04-21 09:00:02,2026-04-21 09:00:02 AM,2026-04-21,9,Morning
Chiang Rai,TH,North,36.99,38.34,36.99,36.99,32,1001,Clouds,scattered clouds,3.6,36,1776765361,2026-04-21 09:56:01,2026-04-21 09:56:01 AM,2026-04-21,9,Morning
Khon Kaen,TH,Northeast,36.14,36.38,36.14,36.14,30,1004,Clear,clear sky,1.82,4,1776753739,2026-04-21 06:42:19,2026-04-21 06:42:19 AM,2026-04-21,6,Morning
Khon Kaen,TH,Northeast,38.11,38.66,38.11,38.11,27,1002,Clouds,few clouds,2.5,15,1776761459,2026-04-21 08:50:59,2026-04-21 08:50:59 AM,2026-04-21,8,Morning
Khon Kaen,TH,Northeast,37.76,38.71,37.76,37.76,29,1003,Clouds,few clouds,2.5,15,1776762321,2026-04-21 09:05:21,2026-04-21 09:05:21 AM,2026-04-21,9,Morning
Khon Kaen,TH,Northeast,37.06,37.56,37.06,37.06,29,1002,Clouds,scattered clouds,1.42,33,1776765613,2026-04-21 10:00:13,2026-04-21 10:00:13 AM,2026-04-21,10,Morning
Nakhon Ratchasima,TH,Northeast,35.69,42.69,35.59,36.36,54,1004,Clouds,scattered clouds,3.09,40,1776762013,2026-04-21 09:00:13,2026-04-21 09:00:13 AM,2026-04-21,9,Morning
Nakhon Ratchasima,TH,Northeast,35.65,42.65,33.92,36.36,53,1004,Clouds,scattered clouds,1.54,40,1776765488,2026-04-21 09:58:08,2026-04-21 09:58:08 AM,2026-04-21,9,Morning
Phuket,TH,South,33.12,40.12,33.12,33.12,62,1008,Clouds,few clouds,4.12,20,1776753901,2026-04-21 06:45:01,2026-04-21 06:45:01 AM,2026-04-21,6,Morning
Phuket,TH,South,32.12,39.12,32.12,32.12,66,1006,Clouds,few clouds,4.63,20,1776761265,2026-04-21 08:47:45,2026-04-21 08:47:45 AM,2026-04-21,8,Morning
Phuket,TH,South,32.12,39.12,32.12,32.12,66,1006,Clouds,few clouds,4.63,20,1776762321,2026-04-21 09:05:21,2026-04-21 09:05:21 AM,2026-04-21,9,Morning
Phuket,TH,South,32.12,39.12,32.12,32.12,66,1006,Clouds,few clouds,4.12,20,1776765613,2026-04-21 10:00:13,2026-04-21 10:00:13 AM,2026-04-21,10,Morning
Surat Thani,TH,South,35.99,40.6,27.9,35.99,44,1005,Clouds,few clouds,5.14,20,1776761898,2026-04-21 08:58:18,2026-04-21 08:58:18 AM,2026-04-21,8,Morning
Surat Thani,TH,South,32.99,36.86,27.9,32.99,52,1005,Clouds,few clouds,3.09,20,1776765614,2026-04-21 10:00:14,2026-04-21 10:00:14 AM,2026-04-21,10,Morning
Udon Thani,TH,Northeast,36.95,39.6,36.95,36.95,36,1003,Clouds,few clouds,3.09,20,1776761652,2026-04-21 08:54:12,2026-04-21 08:54:12 AM,2026-04-21,8,Morning
Udon Thani,TH,Northeast,36.95,39.6,36.95,36.95,36,1003,Clouds,few clouds,3.09,20,1776765614,2026-04-21 10:00:14,2026-04-21 10:00:14 AM,2026-04-21,10,Morning
